97,"NAV
NAV Coin",NAV,"$69,329,489",$1.12,"62,113,393
                        
                        
                            *","$1,668,047",0.76%,5.39%,17.77%
98,"ADX
AdEx",ADX,"$68,705,142",$1.19,"57,667,256
                        
                        
                            *","$5,253,497",0.34%,0.04%,6.74%
99,"UBQ
Ubiq",UBQ,"$68,612,145",$1.75,"39,116,126","$348,801",0.52%,1.29%,19.97%
100,"PART
Particl",PART,"$68,596,886",$8.80,"7,792,322
                        
                        
                            *","$170,438",0.20%,-2.40%,-2.01%
101,"BAY
BitBay",BAY,"$68,436,569",$0.067896,"1,007,956,405
                        
                        
                            *","$5,024,977",0.21%,6.23%,7.69%
102,"ANT
Aragon",ANT,"$67,158,566",$2.06,"32,527,201
                        
                        
                            *","$517,077",0.32%,0.19%,2.41%
103,"DATA
Streamr DATAcoin",DATA,"$66,372,034",$0.098016,"677,154,514
                        
                        
                            *","$3,570,223",-0.01%,-6.83%,9.18%
104,"GRS
Groestlcoin",GRS,"$65,039,368",$0.943611,"68,926,006","$14,205,238",1.29%,33.10%,66.79%
105,"MCO
Monaco",MCO,"$63,854,046",$6.28,"10,164,876
                        
                        
                            *","$1,701,145",0.47%,0.57%,3.29%
106,"RCN
Ripio Credit ...",RCN,"$63,797,716",$0.131503,"485,142,647
                        
                        
                            *","$7,099,914",0.42%,5.09%,-9.18%
107,"FAIR
FairCoin",FAIR,"$62,302,522",$1.17,"53,193,831
                        
                        
                            *","$37,911",-0.13%,-4.53%,21.96%
108,"MGO
MobileGo",MGO,"$62,207,959",$0.634588,"98,028,887
                        
                        
                            *","$402,386",-0.58%,4.74%,-14.97%
109,"SKY
Skycoin",SKY,"$62,070,599",$10.35,"6,000,000
                        
                        
                            *","$48,171",0.55%,-4.09%,47.93%
110,"PPP
PayPie",PPP,"$62,061,454",$0.752260,"82,500,000
                        
                        
                            *","$315,927",0.04%,-0.98%,-2.08%
111,"ACT
Achain",ACT,"$61,900,248",$0.206334,"300,000,000
                        
                        
                            *","$931,766",0.28%,-4.48%,9.20%
112,"QRL
Quantum Resis...",QRL,"$60,690,968",$1.17,"52,000,000
                        
                        
                            *","$2,197,588",0.85%,7.80%,13.11%
113,"XCP
Counterparty",XCP,"$60,492,307",$23.11,"2,617,471
                        
                        
                            *","$287,590",0.53%,3.82%,13.05%
114,"AEON
Aeon",AEON,"$58,803,778",$4.01,"14,651,140","$185,655",0.05%,-2.17%,42.23%
115,"MER
Mercury",MER,"$56,349,218",$0.563492,"100,000,000
                        
                        
                            *","$12,481,858",3.64%,53.92%,249.16%
116,"RHOC
RChain",RHOC,"$55,845,082",$0.306903,"181,963,195
                        
                        
                            *","$73,526",0.25%,0.50%,26.42%
117,"OTN
Open Trading ...",OTN,"$54,580,239",$13.68,"3,988,583
                        
                        
                            *","$399,255",0.63%,-18.73%,-49.51%
118,"FTC
Feathercoin",FTC,"$53,792,760",$0.292827,"183,701,273","$443,122",0.18%,-0.62%,25.12%
119,"IOC
I/O Coin",IOC,"$53,775,920",$3.28,"16,387,646
                        
                        
                            *","$227,918",0.53%,-0.40%,-6.88%
120,"COB
Cobinhood",COB,"$52,435,457",$0.200728,"261,225,880
                        
                        
                            *","$304,568",-0.01%,7.54%,52.19%
121,"KIN
Kin",KIN,"$52,359,868",$0.000069,"756,097,560,976
                        
                        
                            *","$85,421",0.57%,0.19%,3.07%
122,"WINGS
Wings",WINGS,"$51,958,900",$0.579198,"89,708,333
                        
                        
                            *","$607,720",0.36%,1.24%,10.60%
123,"JINN
Jinn",JINN,"$51,128,937",$870.98,"58,703
                        
                        
                            *","$32,201",-1.02%,-8.22%,166.89%
124,"VIA
Viacoin",VIA,"$49,016,224",$2.14,"22,911,717","$1,619,853",0.63%,18.11%,30.90%
125,"AGRS
Agoras Tokens",AGRS,"$46,161,802",$1.10,"42,000,000
                        
                        
                            *","$2,640,276",-0.19%,-8.70%,117.96%
126,"DCT
DECENT",DCT,"$45,548,995",$0.887789,"51,306,089
                        
                        
                            *","$703,509",0.18%,2.10%,11.09%
127,"MLN
Melon",MLN,"$45,472,391",$75.86,"599,400
                        
                        
                            *","$669,275",0.04%,6.53%,-3.40%
128,"ENG
Enigma",ENG,"$44,218,151",$0.590866,"74,836,171
                        
                        
                            *","$3,295,122",0.19%,-7.48%,20.50%
129,"REQ
Request Network",REQ,"$44,136,878",$0.068884,"640,739,733
                        
                        
                            *","$2,454,187",0.79%,6.90%,6.42%
130,"XAS
Asch",XAS,"$43,969,060",$0.484193,"90,808,908","$362,676",0.84%,-6.09%,-14.59%
131,"SNM
SONM",SNM,"$43,164,179",$0.120034,"359,600,000
                        
                        
                            *","$1,368,592",0.07%,-4.41%,13.05%
132,"RLC
iExec RLC",RLC,"$42,787,170",$0.541125,"79,070,793
                        
                        
                            *","$366,013",0.43%,-1.15%,-12.02%
133,"EMC
Emercoin",EMC,"$42,448,893",$1.04,"41,010,715","$183,614",0.40%,0.30%,22.47%
134,"KCS
KuCoin Shares",KCS,"$42,297,694",$0.464590,"91,043,076
                        
                        
                            *","$776,894",-0.31%,-4.80%,-17.02%
135,"R
Revain",R,"$41,692,715",$0.226038,"184,450,000
                        
                        
                            *","$453,934",0.20%,0.47%,13.75%
136,"ZSC
Zeusshield",ZSC,"$41,101,430",$0.035642,"1,153,170,765
                        
                        
                            *","$2,636,324",-0.11%,2.57%,1.11%
137,"TRST
WeTrust",TRST,"$40,596,367",$0.440559,"92,147,500
                        
                        
                            *","$997,968",0.33%,16.56%,8.65%
138,"CFI
Cofound.it",CFI,"$39,568,488",$0.121749,"325,000,000
                        
                        
                            *","$1,167,334",0.53%,2.80%,20.29%
139,"MANA
Decentraland",MANA,"$39,062,748",$0.017180,"2,273,755,650
                        
                        
                            *","$669,839",0.42%,8.16%,10.55%
140,"NLC2
NoLimitCoin",NLC2,"$38,882,501",$0.190101,"204,536,533
                        
                        
                            *","$118,765",0.28%,-1.30%,13.54%
141,"INK
Ink",INK,"$38,559,172",$0.216321,"178,250,000
                        
                        
                            *","$53,758,266",0.00%,21.21%,28.60%
142,"RISE
Rise",RISE,"$38,399,965",$0.339405,"113,139,200
                        
                        
                            *","$1,246,267",1.34%,7.06%,14.97%
143,"PLR
Pillar",PLR,"$38,376,547",$0.168774,"227,384,800
                        
                        
                            *","$146,705",0.25%,-1.32%,-1.03%
144,"TNB
Time New Bank",TNB,"$37,039,444",$0.032701,"1,132,673,199
                        
                        
                            *","$2,443,448",0.75%,19.00%,?
145,"AST
AirSwap",AST,"$36,593,384",$0.243956,"150,000,000
                        
                        
                            *","$3,198,133",0.33%,-2.97%,11.10%
146,"SAFEX
Safe Exchange...",SAFEX,"$35,680,290",$0.016615,"2,147,483,647
                        
                        
                            *","$3,710,334",0.85%,30.92%,77.94%
147,"CLOAK
CloakCoin",CLOAK,"$35,551,762",$6.94,"5,124,058
                        
                        
                            *","$274,823",0.65%,-0.81%,-0.85%
148,"NMC
Namecoin",NMC,"$35,450,433",$2.41,"14,736,400","$218,689",0.10%,-1.23%,38.70%
149,"MOD
Modum",MOD,"$35,272,334",$2.03,"17,366,200
                        
                        
                            *","$2,897,274",0.53%,6.27%,3.32%
150,"TIX
Blocktix",TIX,"$35,185,206",$0.879630,"40,000,000
                        
                        
                            *","$27,984,226",0.44%,66.91%,70.38%
151,"TAAS
TaaS",TAAS,"$35,039,145",$4.30,"8,146,001
                        
                        
                            *","$434,910",-0.21%,-0.53%,-3.46%
152,"NMR
Numeraire",NMR,"$34,954,049",$26.95,"1,297,106
                        
                        
                            *","$1,877,867",-0.35%,-6.29%,79.51%
153,"NEBL
Neblio",NEBL,"$34,639,351",$2.75,"12,599,888
                        
                        
                            *","$302,041",0.60%,-4.02%,-13.78%
154,"TNT
Tierion",TNT,"$34,331,478",$0.081255,"422,513,667
                        
                        
                            *","$4,836,472",0.92%,0.14%,-6.21%
155,"1ST
FirstBlood",1ST,"$34,268,419",$0.400527,"85,558,371
                        
                        
                            *","$472,075",0.36%,2.84%,0.19%
156,"RDD
ReddCoin",RDD,"$33,788,724",$0.001178,"28,682,181,274
                        
                        
                            *","$349,981",0.30%,2.00%,-2.21%
157,"XRB
RaiBlocks",XRB,"$33,323,596",$0.250086,"133,248,290
                        
                        
                            *","$266,088",0.81%,7.23%,44.64%
158,"BTX
Bitcore",BTX,"$32,847,201",$27.47,"1,195,602","$2,888,940",-0.41%,-10.81%,-25.40%
159,"GRID
Grid+",GRID,"$32,512,196",$0.828621,"39,236,491
                        
                        
                            *","$12,558",0.07%,-5.02%,5.11%
160,"NLG
Gulden",NLG,"$32,352,322",$0.090548,"357,295,771","$335,329",0.49%,-0.96%,-1.13%
161,"MCAP
MCAP",MCAP,"$31,716,079",$0.828190,"38,295,641
                        
                        
                            *","$1,273,528",0.90%,5.24%,152.24%
162,"CND
Cindicator",CND,"$31,570,190",$0.021833,"1,445,976,590
                        
                        
                            *","$332,823",0.01%,1.20%,7.92%
163,"TRIG
Triggers",TRIG,"$31,246,803",$0.973252,"32,105,578
                        
                        
                            *","$3,445,422",0.06%,0.36%,-5.16%
164,"LBC
LBRY Credits",LBC,"$31,207,250",$0.275692,"113,195,885","$1,222,206",0.75%,12.85%,22.18%
165,"OK
OKCash",OK,"$30,813,659",$0.420014,"73,363,378
                        
                        
                            *","$3,817,334",0.11%,1.80%,3.17%
166,"CTR
Centra",CTR,"$30,483,287",$0.448284,"68,000,000
                        
                        
                            *","$2,504,072",0.76%,2.70%,-11.67%
167,"SIB
SIBCoin",SIB,"$29,689,802",$1.86,"15,934,891","$208,627",0.27%,-2.66%,26.36%
168,"ATB
ATBCoin",ATB,"$29,247,067",$0.742481,"39,390,980","$2,235,185",-0.09%,-4.44%,-0.50%
169,"DMD
Diamond",DMD,"$29,188,437",$11.49,"2,540,022","$45,398",0.20%,-1.07%,25.49%
170,"AMB
Ambrosus",AMB,"$29,058,280",$0.200969,"144,590,975
                        
                        
                            *","$371,785",-0.03%,-1.60%,4.28%
171,"CDT
CoinDash",CDT,"$28,622,079",$0.051052,"560,650,080
                        
                        
                            *","$1,816,562",0.07%,8.93%,31.58%
172,"BDL
Bitdeal",BDL,"$28,348,430",$0.161452,"175,583,793","$98,064",-0.46%,-14.36%,-23.59%
173,"VOX
Voxels",VOX,"$27,821,292",$0.132482,"210,000,000
                        
                        
                            *","$24,464,524",0.70%,30.06%,121.23%
174,"DNT
district0x",DNT,"$27,382,115",$0.045637,"600,000,000
                        
                        
                            *","$1,977,186",0.21%,3.80%,9.34%
175,"XPA
XPlay",XPA,"$27,311,453",$0.027311,"1,000,000,000
                        
                        
                            *","$12,275",0.21%,-23.70%,-15.02%
176,"MDA
Moeda Loyalty...",MDA,"$26,936,671",$1.37,"19,628,888
                        
                        
                            *","$991,041",0.47%,-2.04%,-26.40%
177,"BLK
BlackCoin",BLK,"$26,708,151",$0.349013,"76,524,706
                        
                        
                            *","$515,604",0.40%,7.05%,14.55%
178,"SHIFT
Shift",SHIFT,"$26,552,016",$2.32,"11,465,130
                        
                        
                            *","$261,172",0.21%,5.34%,13.70%
179,"BBR
Boolberry",BBR,"$26,327,264",$2.46,"10,711,127","$60,869",0.25%,1.96%,?
180,"ION
ION",ION,"$26,073,061",$1.45,"18,037,797
                        
                        
                            *","$148,142",0.37%,0.01%,8.27%
181,"XAUR
Xaurum",XAUR,"$25,834,701",$0.203250,"127,108,034
                        
                        
                            *","$164,228",0.21%,1.27%,7.11%
182,"UKG
Unikoin Gold",UKG,"$25,612,980",$0.191442,"133,789,637
                        
                        
                            *","$179,629",0.12%,-9.26%,0.56%
183,"ICOS
ICOS",ICOS,"$25,593,934",$43.75,"585,048
                        
                        
                            *","$51,245",0.54%,-8.35%,-8.06%
184,"XEL
Elastic",XEL,"$25,402,948",$0.289555,"87,731,088
                        
                        
                            *","$345,966",0.25%,2.05%,1.50%
185,"TKN
TokenCard",TKN,"$25,235,842",$1.07,"23,644,056
                        
                        
                            *","$2,303,845",-0.84%,-5.38%,-20.45%
186,"GVT
Genesis Vision",GVT,"$24,744,721",$6.64,"3,726,781
                        
                        
                            *","$1,666,876",0.12%,5.18%,81.48%
187,"LEO
LEOcoin",LEO,"$24,606,319",$0.261314,"94,163,797
                        
                        
                            *","$1,239,187",0.54%,0.46%,-15.67%
188,"YOYOW
YOYOW",YOYOW,"$23,774,080",$0.128206,"185,437,223
                        
                        
                            *","$9,506,424",0.00%,-5.62%,105.60%
189,"XWC
WhiteCoin",XWC,"$23,639,486",$0.095118,"248,528,660
                        
                        
                            *","$398,190",1.59%,4.75%,66.53%
190,"SMART
SmartCash",SMART,"$23,261,549",$0.058846,"395,297,024","$79,863",0.18%,-8.29%,34.10%
191,"CRW
Crown",CRW,"$23,248,222",$1.43,"16,255,671","$96,668",0.64%,-3.63%,-13.78%
192,"FUEL
Etherparty",FUEL,"$23,001,435",$0.047514,"484,096,253
                        
                        
                            *","$584,377",-0.24%,7.35%,-9.91%
193,"EVX
Everex",EVX,"$22,936,254",$1.39,"16,500,000
                        
                        
                            *","$2,261,295",-0.45%,-2.15%,-3.15%
194,"AMP
Synereo",AMP,"$22,824,881",$0.277485,"82,256,324
                        
                        
                            *","$818,678",0.67%,8.34%,22.77%
195,"VIB
Viberate",VIB,"$22,692,746",$0.140978,"160,966,468
                        
                        
                            *","$2,328,574",0.78%,6.47%,3.15%
196,"EDO
Eidoo",EDO,"$22,599,802",$2.11,"10,708,403
                        
                        
                            *","$676,867",0.21%,-3.48%,-10.31%
197,"DCN
Dentacoin",DCN,"$22,472,725",$0.000069,"325,190,215,376
                        
                        
                            *","$24,788",-0.82%,-15.59%,9.71%
198,"CLAM
Clams",CLAM,"$22,385,177",$8.16,"2,742,392
                        
                        
                            *","$233,680",0.47%,1.72%,17.06%
199,"BQ
bitqy",BQ,"$22,329,604",$0.008952,"2,494,330,803
                        
                        
                            *","$20,003",-0.12%,1.13%,17.72%
200,"TIPS
FedoraCoin",TIPS,"$22,254,815",$0.000050,"443,168,182,458",Low Vol,3.86%,70.41%,317.06%
201,"RBY
Rubycoin",RBY,"$21,529,552",$0.859637,"25,044,925
                        
                        
                            *","$74,460",0.22%,1.03%,3.07%
202,"GRC
GridCoin",GRC,"$21,481,403",$0.055036,"390,312,753","$123,666",0.38%,0.41%,19.09%
203,"PEPECASH
Pepe Cash",PEPECASH,"$21,375,612",$0.030455,"701,884,009
                        
                        
                            *","$20,330",1.53%,8.59%,18.57%
204,"STX
Stox",STX,"$21,280,065",$0.497987,"42,732,175
                        
                        
                            *","$1,214,961",0.31%,0.70%,-15.25%
205,"PPY
Peerplays",PPY,"$21,164,551",$5.54,"3,823,179
                        
                        
                            *",$806,0.19%,18.48%,0.72%
206,"PAYX
Paypex",PAYX,"$20,991,252",$0.306978,"68,380,258
                        
                        
                            *","$15,091",1.62%,-1.74%,39.86%
207,"DICE
Etheroll",DICE,"$20,756,667",$2.96,"7,001,623
                        
                        
                            *","$33,033",0.33%,-0.43%,-4.84%
